Verb,Char,Ent,Tech,VerbType
Stopped,2,0,0,Passive
Stopping,3,1,4,Active
Stored,0,0,0,Passive
Storing,0,0,0,Active
Storytelling,0,0,2,Active
Strategising,1,0,0,Active
Streamed,8,2,0,Passive
Streaming,1,1,48,Active
Stuck,0,0,2,NA
Studying,3,1,0,Active
Stumbling,1,0,0,Active
Subcontracting,0,2,0,Active
Subverted,0,3,0,Passive
Subverting,3,9,2,Active
Suffering,1,0,0,Active
Suggesting,0,0,6,Active
Suiciding,2,0,0,Active
Summoning,0,0,2,Active
Supervising,0,1,0,Active
Supporting,1,1,2,Active
Surprised,14,0,0,Passive
Surprising,4,2,2,Active
Surrounded,1,0,0,Passive
Surveilled,29,8,0,Passive
Surveilling,26,15,54,Active
Surveying,0,1,3,Active
Surviving,4,1,0,Active
Suspected,3,0,1,Passive
Suspecting,6,0,0,Active
Swapping,0,0,2,Active
Swarming,0,1,0,Active
Sweating,1,0,0,Active
Swiping,1,0,0,Active
Syncing,0,0,2,Active
Synthesizing,0,1,2,Active
Taking,1,0,0,Active
Talking,11,1,4,Active
Targeted,11,3,0,Passive
Targeting,8,3,26,Active
Tasking,1,0,0,Active
Taught,1,0,0,NA
Taunted,1,0,0,Passive
Taunting,1,0,0,Active
Teaching,3,1,6,Active
Teased,2,0,0,Passive
Teasing,1,0,0,Active
Telling,1,0,1,Active
Tempted,1,0,0,Passive
Tested,1,1,5,Passive
Testing,7,3,3,Active
Thanked,0,0,1,Passive
Thanking,2,0,0,Active
Thinking,1,1,0,Active
Threatened,13,1,0,Passive
Threatening,8,4,8,Active
Throwing,0,1,0,Active
Tired,2,0,0,Passive
Tormented,1,0,0,Passive
Tormenting,1,0,0,Active
Torturing,1,0,3,Active
Touched,0,0,1,Passive
Touching,1,1,0,Active
Tracing,0,0,9,Active
Tracked,16,2,0,Passive
Tracking,21,2,58,Active
Trained,1,0,22,Passive
Training,5,30,0,Active
Trancing,1,0,0,Active
Transcending,1,0,0,Active
Transformed,0,4,0,Passive
Transforming,0,1,1,Active
Translating,0,0,3,Active
transmitted,1,0,3,Passive
Transmitting,3,0,31,Active
Transported,2,0,0,Passive
Transporting,2,0,5,Active
Trapped,7,0,2,Passive
Trapping,1,1,0,Active
Travelling,5,0,3,Active
Traversed,0,0,2,Passive
Traversing,0,1,0,Active
Trespassing,1,0,1,Active
Tricked,15,5,39,Passive
Tricking,24,15,10,Active
Triggered,0,0,1,Passive
Triggering,1,1,5,Active
Trolling,0,1,0,Active
Trusted,1,2,0,Passive
Trusting,6,0,2,Active
Trying,1,0,1,Active
tweaked,0,0,2,Passive
Unaware,13,1,2,NA
Unblinking,0,0,2,Active
Uncomfortable,1,0,0,NA
Understanding,4,0,6,Active
Undressing,1,0,0,Active
Unlocked,0,0,1,Passive
Unlocking,5,0,8,Active
Unmasking,0,0,1,Active
Unplugging,1,0,0,Active
Unsettled,2,1,0,Passive
Unsettling,0,0,3,Active
Upgraded,3,0,3,Passive
Upgrading,1,0,0,Active
Uploaded,1,2,1,Passive
uploading,1,4,1,Active
Used,4,1,10,Passive
Using,7,1,0,Active
Varying,0,0,2,Active
Verified,2,1,0,Passive
Verifying,1,0,6,Active
Viewed,7,3,4,Passive
Viewing,5,1,7,Active
Visiting,1,1,0,Active
Visualised,1,0,0,Passive
Visualising,2,3,28,Active
Vlogging,1,0,0,Active
Waiting,4,1,1,Active
Waking,0,0,2,Active
Walking,12,4,0,Active
Wandering,1,0,0,Active
Warned,3,0,0,Passive
Warning,2,1,6,Active
Watched,59,14,7,Passive
Watching,92,31,37,Active
Weakened,2,0,0,Passive
Weakening,0,0,2,Active
Wearing,2,8,0,Active
Welcomed,1,0,0,Passive
Welcoming,1,0,2,Active
Winning,2,0,0,Active
Wishing,1,0,0,Active
Withdrawing,1,0,0,Active
Witnessing,4,0,3,Active
Working,6,1,0,Active
Worrying,6,2,2,Active
Wounded,2,0,0,Passive
Wounding,1,0,0,Active
Writing,0,0,2,Active
Yelling,2,3,1,Active
Zooming,3,0,22,Active
NA,8,3,12,NA
