Verb,Char,Ent,Tech,VerbType
Curating,2,16,3,Active
Curing,0,0,1,Active
Cut,0,1,0,NA
Damaged,4,0,2,Passive
Dancing,6,2,2,Active
Datafying,0,0,2,Active
Dataminig,0,0,2,NA
Deactivated,0,0,5,Passive
Deactivating,1,0,0,Active
Dead,3,0,0,NA
Debating,0,0,1,Active
Decapitated,1,0,0,Passive
Decaying,0,1,0,Active
Deceased,1,0,0,Passive
Deceived,9,0,8,Passive
Deceiving,14,1,18,Active
Decentered,1,0,0,Passive
Deciding,6,5,17,Active
Decolonizing,0,1,0,Active
Deconstructing,0,0,2,Active
Decorated,0,0,1,Passive
Decorating,1,3,15,Active
Decoying,0,1,0,Active
Decrypted,0,0,1,Passive
Deduced,0,1,0,Passive
Deducing,1,0,1,Active
Defended,2,0,0,Passive
Defending,6,0,5,Active
Defiling,0,0,1,Active
Defying,1,0,0,Active
Deleted,1,1,4,Passive
Deleting,2,0,2,Active
Delivering,0,0,5,Active
Dematerialised,1,0,0,Passive
Demonstrating,4,21,4,Active
Demystifying,0,0,1,Active
Depicting,0,1,2,Active
Deployed,0,0,1,Passive
Deploying,1,0,0,Active
Depressed,2,0,0,Passive
Described,0,2,0,Passive
Describing,2,0,2,Active
Designing,4,0,0,Active
Desiring,0,1,0,Active
Destroyed,0,2,13,Passive
Destroying,11,2,5,Active
Detected,8,11,4,Passive
Detecting,5,0,118,Active
Determinating,0,0,2,Active
Determining,0,0,3,Active
Developed,0,0,3,Passive
Developing,2,10,0,Active
Diagnosed,5,0,0,Passive
Diagnosing,4,0,19,Active
Differentiating,0,0,1,Active
Digitalized,0,1,0,Passive
Digitalizing,0,0,1,Active
Dimming,0,0,2,Active
Directed,2,0,1,Passive
Directing,4,1,0,Active
Disabled,2,0,12,Passive
Disabling,6,0,0,Active
Disagreeing,2,0,0,Active
Disappearing,1,1,0,Active
Disappointed,1,0,0,Passive
Discerning,1,0,2,Active
Disciplined,2,0,0,Passive
Disciplining,1,0,1,Active
Disconnected,0,0,9,Passive
Disconnecting,1,0,0,Active
Discovering,8,5,0,Active
Discriminated,4,0,0,Passive
Discriminating,0,2,8,Active
Discussed,1,0,0,Passive
Discussing,8,2,1,Active
Disempowered,1,1,0,Passive
Disguised,3,0,0,Passive
Disguising,1,1,4,Active
Disgusted,3,0,0,Passive
Disillusioned,1,0,0,Passive
Disliking,0,1,0,Active
Disobeyed,1,0,1,Passive
Disobeying,2,0,0,Active
Disoriented,3,0,0,Passive
Disorienting,0,0,1,Active
Dispensing,0,0,2,Active
Dispersed,1,0,0,Passive
Displaced,1,0,0,Passive
Displacing,1,0,0,Active
Displayed,9,4,10,Passive
Displaying,3,1,113,Active
Disposed,1,0,0,Passive
Disposing,0,0,2,Active
Disrupted,0,0,1,Passive
Disseminating,0,1,0,Active
Dissociating,2,0,0,Active
Distancing,1,0,0,Active
Distorted,0,5,1,Passive
Distorting,0,2,15,Active
Distracted,0,0,1,Passive
Distracting,1,0,2,Active
Distressed,2,0,0,Passive
Distrusting,2,0,0,Active
Disturbed,2,0,0,Passive
Documented,6,7,0,Passive
Documenting,4,1,16,Active
Dodging,2,0,0,Active
Dominating,0,0,2,Active
Donated,0,0,1,Passive
Donating,1,1,0,Active
Doubted,3,0,0,Passive
Doubting,3,1,0,Active
Dragged,1,0,0,Passive
Draining,0,0,3,Active
Drawing,1,1,1,Active
Dreaming,0,0,2,Active
Driving,4,0,1,Active
Drugged,1,0,0,Passive
Duped,1,0,0,Passive
Duplicating,0,0,2,Active
Dying,7,0,0,Active
Eating,1,0,1,Active
Edited,0,0,2,Passive
Editing,5,1,1,Active
Educating,1,0,0,Active
Emanated,1,0,2,Passive
Embedding,0,0,2,Active
Embellishing,0,1,2,Active
Emitting,1,0,0,Active
Emoting,0,1,2,Active
Empathised,1,0,0,Passive
Empathising,2,0,0,Active
Employing,0,2,0,Active
Empowered,5,1,5,Passive
Empowering,0,0,3,Active
Enabled,4,0,0,Passive
Enabling,1,1,18,Active
Encouraged,2,0,0,Passive
Encouraging,5,0,1,Active
Enduring,0,1,0,Active
Engaging,2,0,1,Active
Enhanced,4,0,0,Passive
Enhancing,0,0,17,Active
Enjoyed,0,0,1,Passive
Enjoying,8,1,4,Active
Entered,0,0,1,Passive
Entering,9,1,0,Active
Entertained,4,5,0,Passive
Entertaining,2,2,13,Active
Erasing,2,1,2,Active
Escaping,11,0,0,Active
Establishing,0,0,1,Active
Estranged,0,1,0,Passive
Evaded,0,2,6,Passive
Evading,13,1,3,Active
Evaluated,7,0,0,Passive
Evaluating,5,1,6,Active
Evalutating,1,0,1,Active
Examined,3,0,1,Passive
Examining,3,1,3,Active
Exchanged,0,1,1,Passive
Exchanging,3,0,0,Active
Excited,1,0,3,Passive
Excluded,8,0,1,Passive
Excluding,0,1,9,Active
exercising,1,0,0,Active
Exhausting,0,1,0,Active
Expanding,0,0,3,Active
Experienced,0,0,1,Passive
Experiencing,5,2,0,Active
Experimenting,2,6,0,Active
Explained,1,0,2,Passive
Explaining,6,1,3,Active
Exploited,3,1,0,Passive
Exploiting,2,1,1,Active
Explored,0,0,1,Passive
Exploring,13,14,4,Active
Exposed,12,4,2,Passive
Exposing,5,3,12,Active
Expressing,3,5,0,Active
Extending,0,0,9,Active
Extracted,1,1,4,Passive
Extracting,3,1,4,Active
Facilitating,1,0,0,Active
Fact-checking,1,0,0,Active
Fading,2,1,4,Active
Failed,1,0,0,Passive
Failing,8,2,55,Active
Faked,3,0,0,Passive
Faking,2,1,3,Active
Falling,0,0,1,Active
Fascinated,1,1,0,Passive
Fascinating,1,0,0,Active
Fed,0,1,0,Passive
Feeding,0,7,0,Active
Feeling,4,2,0,Active
Fighting,31,3,3,Active
Filmed,4,1,0,Passive
Filming,2,2,10,Active
Filtered,1,1,0,Passive
Filtering,0,2,7,Active
Finding,16,2,12,Active
Fixing,1,1,0,Active
Flabbergasted,2,0,0,Passive
Flashing,0,0,2,Active
Flawed,2,0,14,Passive
Fleeing,4,0,0,Active
Flying,4,0,8,Active
Focusing,0,0,3,Active
Followed,1,0,2,Passive
Following,8,3,5,Active
Fooling,2,0,1,Active
Forced,6,0,0,Passive
Forcing,6,0,0,Active
Found,7,1,1,NA
Framed,0,1,0,Passive
Framing,0,0,5,Active
Frightened,3,0,0,Passive
Frightening,0,0,2,Active
Frustrated,6,1,0,Passive
Frustrating,0,0,2,Active
Gaming,2,0,0,Active
Gathering,2,0,0,Active
Gendered,3,0,0,Passive
Gendering,2,0,4,Active
Generated,6,14,1,Passive
Generating,1,0,102,Active
Gesturing,0,1,0,Active
Giving,3,1,2,Active
Glitching,2,0,18,Active
Granting,0,0,1,Active
Griefing,2,0,0,Active
grieved,1,0,0,Passive
Grieving,7,0,0,Active
Grimacing,0,3,0,Active
Guarding,0,0,2,Active
Guided,7,1,0,Passive
Guiding,6,5,6,Active
