Verb,target,Female,Male,Trans Woman,Robot,Fictional,Human,PoC,White,Child,Young Adult,Adult,Heterosexual,NA,Asian,Elderly,Other,Non-binary or Other,Animal,Bi-sexual,Homosexual
Nurturing,TRUE,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Obeying,TRUE,5,2,0,0,0,8,3,3,0,2,5,1,9,1,1,0,0,0,0,0
Obfuscated,FALSE,0,1,0,1,0,1,1,0,0,0,2,0,4,0,0,0,0,0,0,0
Obfuscating,TRUE,2,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,1
Objectifying,TRUE,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Objecting,TRUE,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Obscured,FALSE,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Obscuring,TRUE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Observed,FALSE,6,7,0,1,3,12,3,7,1,1,11,3,25,0,0,0,0,0,0,0
Observing,TRUE,11,19,0,8,1,23,3,16,1,1,26,8,39,4,0,0,0,0,0,0
Obsessed,FALSE,1,2,0,0,0,3,2,0,0,0,3,1,1,0,0,0,0,0,2,0
Obstructed,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Obstructing,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Operated,FALSE,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Operating,TRUE,3,2,0,0,1,6,3,1,0,0,6,0,11,2,0,0,0,0,0,0
Oppressed,FALSE,4,3,0,0,0,7,2,4,0,2,5,2,5,0,0,0,0,0,1,0
Orchestrated,FALSE,0,1,0,0,0,1,0,1,0,0,2,1,4,0,0,0,0,0,0,0
Ordering,TRUE,0,2,0,1,0,2,0,2,0,0,2,1,4,0,0,1,0,0,0,0
Organizing,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Outsmarted,FALSE,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Outsmarting,TRUE,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Overlayed,FALSE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Overlooking,TRUE,1,3,0,2,0,2,0,4,0,0,4,3,1,0,0,0,0,0,0,0
Overwhelmed,FALSE,2,3,0,2,0,4,1,3,0,0,6,2,6,1,0,0,0,0,0,0
Overworked,FALSE,1,0,0,0,0,2,1,0,0,1,1,0,4,0,0,0,0,0,0,0
Painting,TRUE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Panicking,TRUE,2,5,1,2,0,6,1,4,0,0,8,4,5,2,0,0,0,0,0,0
Participating,TRUE,1,2,0,0,0,3,1,2,0,0,3,2,0,0,0,0,0,0,0,1
Passive,FALSE,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Patrolling,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Paying,TRUE,2,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,0,0,1
Performing,TRUE,3,3,0,0,0,8,1,6,0,0,8,1,9,0,0,0,1,0,0,0
Persuaded,FALSE,1,1,0,0,0,2,0,2,0,0,1,2,0,0,1,0,0,0,0,0
Persuading,TRUE,0,2,0,2,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0
Philosophising,TRUE,0,2,0,0,0,2,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Photographed,FALSE,0,2,0,0,0,5,0,2,0,0,5,0,10,0,0,0,1,0,0,0
Photographing,TRUE,3,2,0,1,0,5,1,2,0,2,3,2,8,0,0,0,0,0,0,1
Picking,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Pierced,FALSE,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Planning,TRUE,6,8,0,4,2,12,2,5,0,4,8,7,27,3,2,0,0,0,0,0
Playing,TRUE,7,9,0,3,0,12,0,11,2,2,11,7,12,3,0,0,0,1,0,0
Pleased,FALSE,1,1,0,1,0,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0
Pleasuring,TRUE,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Plotting,TRUE,2,0,0,0,0,2,0,2,0,1,1,0,2,0,0,0,0,0,0,0
Pointing,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Posing,TRUE,1,4,0,0,0,7,2,2,0,0,7,0,9,1,0,0,1,0,0,1
Practicing,TRUE,0,2,0,1,0,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Pranked,FALSE,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Pranking,TRUE,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Predicted,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Predicting,TRUE,5,1,0,3,1,3,0,2,0,0,6,0,13,1,0,0,0,0,0,0
Preoccupied,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Preoccupying,TRUE,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Preparing,TRUE,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Presented,FALSE,1,1,0,1,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Presenting,TRUE,0,3,0,0,0,3,1,2,0,0,3,0,3,0,0,0,0,0,0,0
Pretending,TRUE,3,5,0,0,0,8,0,6,0,0,8,2,7,1,0,0,0,0,0,0
Printing,TRUE,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Problem-solving,TRUE,2,1,0,3,0,1,1,2,0,0,3,0,7,0,0,0,0,0,0,0
Processing,TRUE,5,1,0,5,0,2,3,0,1,0,5,1,11,1,0,0,0,0,0,0
Proctecting,TRUE,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Profiling,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Programming,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Projected,FALSE,4,6,0,5,3,4,1,9,2,0,8,5,9,0,2,0,2,0,0,0
Projecting,TRUE,3,1,0,2,2,0,0,2,0,0,4,2,4,0,0,0,0,0,0,0
Protected,FALSE,6,7,0,1,0,14,5,7,1,1,13,6,13,1,0,0,0,0,0,0
Protecting,TRUE,5,12,0,4,1,14,2,11,0,0,16,10,19,1,0,0,0,0,0,0
Protesting,TRUE,1,3,0,0,0,4,2,2,0,0,4,0,3,0,0,0,0,0,0,1
Provoked,FALSE,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Provoking,TRUE,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Punched,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Punching,TRUE,0,2,0,0,0,2,0,0,0,1,1,0,3,1,0,0,0,0,0,0
Punished,FALSE,1,1,0,0,0,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0
Puppeteering,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Puzzled,FALSE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Quantifying,TRUE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Questioned,FALSE,3,3,0,1,0,5,2,3,0,1,4,2,6,0,0,0,0,0,0,0
Questioning,TRUE,6,3,0,0,0,10,3,5,1,1,7,1,17,0,1,0,0,0,0,0
Racing,TRUE,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Rapping,TRUE,0,2,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0
Reacting,TRUE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Reading,TRUE,1,3,0,1,0,4,1,0,0,0,4,2,7,2,0,0,0,0,0,0
Realizing,TRUE,0,2,0,0,1,2,1,0,0,0,3,1,4,1,0,0,0,0,0,0
Reassured,FALSE,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Reassuring,TRUE,3,0,0,3,0,1,0,3,0,0,4,2,4,0,0,0,0,0,0,0
Rebooted,FALSE,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Rebooting,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Recalling,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Receiving,TRUE,1,1,0,0,0,2,1,1,0,1,1,0,2,0,0,0,0,0,0,0
Recognised,FALSE,5,2,0,1,1,5,1,4,0,1,6,3,6,0,0,0,0,0,0,0
Recognising,TRUE,1,4,0,5,0,3,1,0,0,0,5,1,18,2,0,0,0,0,0,0
Reconfiguring,TRUE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Reconstructed,FALSE,1,1,0,0,0,2,0,1,0,0,2,0,2,1,0,0,0,0,0,0
Reconstructing,TRUE,0,1,0,0,0,2,0,1,0,0,1,1,4,0,0,0,0,0,0,0
Recorded,FALSE,9,10,0,0,0,21,1,10,2,4,12,6,35,2,2,0,0,1,0,0
Recording,TRUE,3,2,0,4,0,4,1,1,0,1,7,1,20,0,0,0,0,1,0,0
Recruited,FALSE,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Refused,FALSE,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Refusing,TRUE,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Registered,FALSE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Rejected,FALSE,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Rejecting,TRUE,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
Relaxed,FALSE,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Releasing,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Relived,FALSE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Reliving,TRUE,1,2,0,0,0,3,0,2,0,0,2,1,3,0,1,0,0,0,0,0
Relocating,TRUE,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Remade,FALSE,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Remembered,FALSE,1,1,0,0,0,2,0,1,0,1,1,1,2,0,0,0,0,0,0,0
Remembering,TRUE,3,8,0,3,0,8,0,5,0,1,8,4,12,2,1,0,0,0,0,0
Reminded,FALSE,0,2,0,0,0,3,1,1,0,0,1,1,4,0,2,0,0,0,0,0
Reminding,TRUE,0,2,0,1,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0
Removed,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
Removing,TRUE,1,2,0,1,0,2,1,1,0,0,2,1,2,1,1,0,0,0,0,0
Repaired,FALSE,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Repairing,TRUE,2,2,0,1,0,3,0,2,0,1,2,0,7,0,0,0,0,0,0,0
Replaced,FALSE,1,3,0,0,0,4,0,3,0,0,4,0,4,1,0,0,0,0,0,0
Replacing,TRUE,2,2,0,1,0,4,0,3,0,1,3,1,8,0,0,0,0,0,0,0
Replicated,FALSE,1,2,0,0,0,4,0,2,0,1,3,1,4,1,0,0,1,0,0,0
Replicating,TRUE,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Replugged,FALSE,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Reported,FALSE,2,0,0,0,0,3,2,1,0,2,1,2,2,0,0,0,0,0,0,0
Reporting,TRUE,0,2,0,0,0,2,0,0,0,0,2,1,3,0,0,0,0,0,0,0
Represented,FALSE,1,1,0,0,0,2,0,1,0,2,0,1,2,0,0,0,0,0,0,0
Repurposing,TRUE,0,4,0,1,0,3,0,3,0,1,3,4,1,0,0,0,0,0,0,0
Rescued,FALSE,5,3,0,1,0,7,1,6,1,1,6,1,16,0,0,0,0,2,0,0
Rescuing,TRUE,3,7,0,2,0,9,1,5,3,0,5,1,18,0,1,0,0,0,0,0
Researching,TRUE,3,3,0,0,2,6,0,4,0,0,7,3,10,0,1,0,0,0,1,0
Resetting,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Resisting,TRUE,3,1,0,1,0,4,2,1,1,0,2,1,7,0,1,0,0,0,1,0
Responding,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
Restoring,TRUE,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Retrying,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Returning,TRUE,1,1,0,1,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Revealed,FALSE,5,7,0,1,6,10,1,9,0,2,10,6,28,0,0,0,0,0,0,0
Revealing,TRUE,4,7,0,4,1,6,2,4,0,1,9,5,11,1,0,0,0,0,0,0
Rewatching,TRUE,1,1,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0
Rewinding,TRUE,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Risking,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Robbed,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Robbing,TRUE,0,2,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0
Role-playing,TRUE,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0
Ruminating,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Rummaging,TRUE,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Running,TRUE,2,5,0,1,0,7,3,3,1,3,4,4,11,0,0,0,0,1,0,0
Safeguarding,TRUE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Saved,FALSE,0,1,0,0,0,2,0,0,2,0,0,0,4,1,0,0,0,0,0,0
Saving,TRUE,3,0,1,3,0,2,0,1,0,0,4,1,7,2,0,0,0,0,1,0
Scanned,FALSE,26,28,0,5,3,49,10,35,1,10,47,18,65,4,1,0,0,2,0,1
Scanning,TRUE,7,18,0,16,0,16,3,10,0,1,21,9,57,1,0,0,0,0,1,0
Scared,FALSE,14,10,0,1,0,28,5,12,1,5,21,9,36,5,2,0,0,1,0,0
Scaring,TRUE,0,1,0,1,1,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0
Scouting,TRUE,3,5,0,0,0,8,3,4,0,0,8,0,9,0,0,0,0,0,0,0
Screaming,TRUE,2,0,0,0,0,2,0,0,1,0,1,0,4,0,0,0,0,0,0,0
Scrolling,TRUE,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Searching,TRUE,14,26,0,9,1,32,8,19,0,3,37,19,39,6,1,0,0,1,0,0
Seeing,TRUE,14,22,2,12,0,29,5,18,0,5,35,17,35,7,1,0,0,0,0,3
Seeking,TRUE,1,2,0,2,0,1,0,3,0,0,3,2,1,0,0,0,0,0,0,0
Seen,FALSE,3,3,0,1,1,5,3,2,0,3,3,4,7,0,0,0,0,0,0,0
Selecting,TRUE,1,0,0,0,0,2,1,0,0,0,2,1,3,0,0,0,0,0,0,0
Self-diagnosing,TRUE,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Sensing,TRUE,2,0,0,0,0,3,0,0,0,0,3,0,6,1,0,0,0,0,0,0
Sharing,TRUE,4,1,0,3,0,3,4,0,0,0,5,1,13,0,1,0,0,0,0,0
Shocked,FALSE,3,2,0,0,1,4,2,2,0,0,5,2,4,0,0,0,0,0,0,0
Shooting,TRUE,0,8,0,2,0,8,1,3,0,0,9,2,16,1,0,0,0,0,0,0
Shot,FALSE,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Shouting,TRUE,1,1,0,1,0,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Showed,FALSE,0,2,0,0,0,3,0,1,0,1,1,1,5,1,0,0,0,0,0,0
Showing,TRUE,4,6,0,3,1,8,6,3,0,1,10,7,11,0,0,0,0,0,0,0
Signing,TRUE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Simulated,FALSE,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Simulating,TRUE,0,2,0,1,0,1,0,1,0,0,2,1,2,0,0,0,0,0,0,0
Singing,TRUE,2,3,0,2,0,4,0,4,0,0,6,0,9,0,0,0,0,0,0,0
Sleeping,TRUE,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Smiling,TRUE,2,2,0,1,0,3,1,2,0,0,4,1,3,0,0,0,0,0,0,1
Sneaking,TRUE,2,3,0,1,0,5,0,3,0,0,6,1,8,1,0,0,0,0,0,0
Sniped,FALSE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Sniping,TRUE,0,2,0,0,0,2,0,1,0,0,2,0,3,0,0,0,0,0,0,0
Socialising,TRUE,2,0,0,2,0,2,0,1,0,0,4,0,8,0,0,0,0,0,0,1
Solving,TRUE,1,1,0,1,0,2,0,2,0,0,3,2,3,0,0,0,0,0,0,0
Soothed,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Soothing,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Sorting,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Sousveilling,TRUE,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Spilling,TRUE,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Spying,TRUE,2,14,0,2,0,14,3,9,1,0,14,10,16,0,0,0,0,0,0,0
Stabbing,TRUE,1,1,0,1,0,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Stalking,TRUE,3,1,0,0,0,3,1,1,0,0,4,2,5,0,0,0,0,0,0,0
Startled,FALSE,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Starving,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Stealing,TRUE,2,5,0,0,0,8,3,3,0,0,6,1,11,0,1,0,0,0,0,0
Steering,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Stopped,FALSE,1,1,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0
Stopping,TRUE,1,2,0,1,0,2,0,1,0,0,3,0,4,1,0,0,0,0,0,0
Strategising,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Streamed,FALSE,3,3,0,1,5,2,1,0,0,3,2,3,15,2,0,0,0,0,0,0
Streaming,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Studying,TRUE,0,2,0,1,0,2,0,0,0,0,2,1,7,0,0,0,0,0,0,0
Stumbling,TRUE,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Subverting,TRUE,1,0,0,0,0,3,0,1,0,1,0,0,9,0,0,0,0,0,0,0
Suffering,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Suiciding,TRUE,1,1,0,0,0,2,1,0,0,1,1,1,2,0,0,0,0,0,0,0
Supporting,TRUE,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Surprised,FALSE,3,10,0,0,0,14,2,11,0,2,11,7,8,1,1,0,0,0,0,0
Surprising,TRUE,3,1,0,0,0,4,0,4,0,0,4,1,3,0,0,0,0,0,0,0
Surrounded,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Surveilled,FALSE,12,15,0,0,2,27,9,16,3,7,17,11,24,2,0,0,0,0,0,0
Surveilling,TRUE,5,15,0,6,2,18,2,14,0,0,21,7,38,1,1,0,0,0,0,0
Surviving,TRUE,0,4,0,0,0,4,1,1,0,1,3,2,3,1,0,0,0,0,0,0
Suspected,FALSE,0,2,0,1,0,2,2,0,0,1,1,0,6,0,0,0,0,0,0,0
Suspecting,TRUE,1,5,0,0,0,6,0,3,0,1,5,1,7,1,0,0,0,0,0,0
Sweating,TRUE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Swiping,TRUE,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Taking,TRUE,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Talking,TRUE,5,5,0,3,1,7,1,4,1,0,10,6,10,2,0,0,0,0,0,0
Targeted,FALSE,4,5,0,2,1,7,2,5,1,0,9,2,15,1,0,0,0,0,1,0
Targeting,TRUE,2,4,0,2,1,4,2,2,1,0,6,3,13,0,0,0,0,0,0,0
Tasking,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Taught,FALSE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Taunted,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Taunting,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Teaching,TRUE,3,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0
Teased,FALSE,1,1,0,0,0,2,1,1,0,0,2,2,0,0,0,0,0,0,0,0
Teasing,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Telling,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Tempted,FALSE,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Tested,FALSE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Testing,TRUE,2,4,0,1,0,6,0,3,0,0,6,2,10,1,0,0,0,0,0,0
Thanking,TRUE,0,1,0,0,0,2,0,1,0,0,1,1,4,0,0,0,0,0,0,0
Thinking,TRUE,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Threatened,FALSE,6,6,0,0,1,12,3,10,0,3,10,7,7,0,0,0,0,0,0,0
Threatening,TRUE,2,5,0,4,0,4,1,4,0,0,7,3,9,1,0,0,0,0,0,0
Tired,FALSE,2,0,0,0,0,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0
Tormented,FALSE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Tormenting,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Torturing,TRUE,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Touching,TRUE,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Tracked,FALSE,5,9,0,1,1,13,3,7,1,1,13,8,16,1,0,0,0,1,0,0
Tracking,TRUE,5,14,0,4,2,15,6,8,0,0,19,4,28,0,0,0,0,0,0,0
Trained,FALSE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Training,TRUE,2,1,0,1,0,3,0,1,0,1,3,0,11,2,0,0,0,0,0,0
Trancing,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Transcending,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
transmitted,FALSE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Transmitting,TRUE,0,0,0,3,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0
Transported,FALSE,1,1,0,0,0,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Transporting,TRUE,1,1,0,1,0,1,0,2,0,0,2,0,1,0,0,1,0,0,0,0
Trapped,FALSE,3,3,0,0,1,6,1,2,1,1,5,1,11,0,0,0,0,0,0,0
Trapping,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Travelling,TRUE,3,2,0,1,0,4,1,2,0,1,4,1,2,2,0,0,0,0,0,2
Trespassing,TRUE,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Tricked,FALSE,5,8,0,2,1,12,2,11,0,3,11,11,9,0,0,0,0,0,0,0
Tricking,TRUE,9,11,1,2,1,21,3,17,1,3,18,9,23,0,0,0,0,0,0,1
Triggering,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Trusted,FALSE,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Trusting,TRUE,5,1,0,0,0,6,0,5,1,2,3,0,7,0,0,0,0,0,0,0
Trying,TRUE,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Unaware,FALSE,5,4,0,2,2,8,1,4,2,1,5,2,26,1,1,0,0,1,0,0
Uncomfortable,FALSE,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Understanding,TRUE,3,0,0,1,0,3,1,2,0,0,3,1,6,0,0,0,0,0,0,0
Undressing,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Unlocking,TRUE,2,3,0,0,0,5,0,4,0,1,4,2,4,0,0,0,0,0,0,0
Unplugging,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Unsettled,FALSE,1,0,0,1,0,1,1,0,0,0,2,0,4,0,0,0,0,0,0,0
Upgraded,FALSE,1,1,0,2,0,1,1,1,0,0,3,1,4,0,0,0,0,0,0,0
Upgrading,TRUE,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Uploaded,FALSE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
uploading,TRUE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Used,FALSE,4,0,0,0,0,4,0,4,0,1,3,1,3,0,0,0,0,0,0,0
Using,TRUE,5,1,0,0,0,7,1,4,0,2,4,2,7,1,1,0,0,0,0,0
Verified,FALSE,2,0,0,0,0,2,0,1,0,0,2,0,3,0,0,0,0,0,0,0
Verifying,TRUE,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Viewed,FALSE,2,3,0,0,0,7,1,3,1,0,5,0,11,1,0,0,1,0,0,0
Viewing,TRUE,3,1,0,0,0,5,1,2,0,0,5,3,5,0,0,0,0,0,0,0
Visiting,TRUE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Visualised,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Visualising,TRUE,0,2,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0
