Verb,target,Female,Male,Trans Woman,Robot,Fictional,Human,PoC,White,Child,Young Adult,Adult,Heterosexual,NA,Asian,Elderly,Other,Non-binary or Other,Animal,Bi-sexual,Homosexual
Excluded,FALSE,5,2,0,2,0,6,5,1,0,1,6,1,11,0,0,0,0,0,0,0
exercising,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Experiencing,TRUE,2,2,0,1,0,4,1,2,0,0,5,0,8,0,0,0,0,0,0,0
Experimenting,TRUE,1,1,0,0,0,2,0,0,0,0,2,0,1,2,0,0,0,0,1,0
Explained,FALSE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Explaining,TRUE,3,2,0,1,0,5,0,3,1,1,4,1,8,0,0,0,1,0,0,0
Exploited,FALSE,2,0,0,0,0,3,1,1,0,1,2,1,4,0,0,0,0,0,0,0
Exploiting,TRUE,1,1,0,0,0,2,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Exploring,TRUE,4,5,0,1,0,12,2,4,0,0,12,2,22,0,1,0,0,0,0,0
Exposed,FALSE,3,3,0,0,3,8,1,5,0,1,5,3,25,1,2,0,0,0,0,0
Exposing,TRUE,3,1,0,1,1,3,1,1,0,1,3,3,7,0,0,0,0,0,0,0
Expressing,TRUE,0,3,0,0,0,3,1,2,0,0,3,0,3,0,0,0,0,0,0,0
Extracted,FALSE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Extracting,TRUE,2,1,0,0,0,3,0,2,0,0,3,2,2,0,0,0,0,0,0,0
Facilitating,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Fact-checking,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Fading,TRUE,1,0,0,2,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0
Failed,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Failing,TRUE,3,3,1,4,0,4,2,2,0,1,6,1,12,1,0,0,0,0,0,0
Faked,FALSE,0,3,0,0,0,3,0,2,0,0,3,0,3,1,0,0,0,0,0,0
Faking,TRUE,1,1,0,0,0,2,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Fascinated,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Fascinating,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Feeling,TRUE,1,2,0,1,0,3,0,2,0,1,3,2,5,0,0,0,0,0,0,0
Fighting,TRUE,11,13,0,10,1,17,0,16,1,3,21,5,51,4,0,1,1,0,0,0
Filmed,FALSE,2,1,0,0,1,3,0,3,0,1,2,2,5,0,0,0,0,0,0,0
Filming,TRUE,0,1,0,0,0,2,0,0,0,1,1,0,5,0,0,0,0,0,0,0
Filtered,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Finding,TRUE,7,8,0,3,0,13,1,9,0,1,12,6,15,3,2,0,0,0,0,0
Fixing,TRUE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Flabbergasted,FALSE,1,1,0,0,0,2,0,2,0,0,1,1,1,0,1,0,0,0,0,0
Flawed,FALSE,0,1,0,2,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0
Fleeing,TRUE,3,1,0,0,0,4,1,1,1,0,2,1,3,2,1,0,0,0,0,0
Flying,TRUE,1,1,0,1,0,1,2,0,0,0,4,0,10,0,0,0,0,0,0,0
Followed,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Following,TRUE,4,3,0,2,0,5,1,3,0,1,5,2,13,1,0,0,0,0,0,0
Fooling,TRUE,2,0,0,0,0,2,1,0,0,0,2,0,3,0,0,0,0,0,0,0
Forced,FALSE,2,4,0,1,1,4,0,2,1,1,4,1,8,1,0,0,0,0,0,0
Forcing,TRUE,2,3,0,0,1,5,0,2,0,0,4,1,9,2,1,0,0,0,0,0
Found,FALSE,5,2,0,1,0,6,0,6,0,2,5,5,3,0,0,0,0,0,0,0
Frightened,FALSE,2,1,0,0,1,2,1,0,0,0,2,1,5,0,0,0,0,0,0,0
Frustrated,FALSE,4,2,0,2,0,4,0,3,0,1,5,3,6,0,0,0,0,0,0,0
Gaming,TRUE,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0
Gathering,TRUE,1,0,0,0,0,2,1,0,0,1,1,0,4,0,0,0,0,0,0,0
Gendered,FALSE,0,3,0,0,2,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0
Gendering,TRUE,2,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0
