WorkTitle,WorkID,Work_WikidataID,Creator,CreatorID,Creator_WikidataID
Glow,1582,NA,Prafulla Dhariwal,1581,NA
Jller,184,NA,Prokop Bartoníček,181,NA
Heavy Rain,3109,Q647855,Quantic Dream,178,Q570081
Detroit: Become Human,180,Q21246348,Quantic Dream,178,Q570081
MEMEMEME#selfie,1666,NA,Radamés Ajna,1663,NA
House of Cards,936,NA,Radiohead,933,Q44190
Level of Confidence,1576,NA,RAFAEL LOZANO-HEMMER,1574,NA
Facial recognition,613,NA,Rana Dasgupta,612,Q7290627
The Argus Project,3171,NA,Raquel De Anda,3165,NA
Android Kunjappan Version 5.25,2397,Q77895617,Ratheesh Balakrishnan Poduval,2396,NA
Welcome to Your Authentic Indian ExperienceTM,2083,Q56215021,Rebecca Roanhorse,2081,Q56192533
Outlast,228,Q14838050,Red Barrels,227,NA
"Star Wars (Episode: 7, 8 & 9)",2148,Q6074,Rian Johnson,2153,NA
A Scanner Darkly,2599,Q300547,Richard Linklater,2598,Q40035
Infra,823,NA,RIchard Mosse,818,NA
Incoming,821,NA,RIchard Mosse,818,NA
Prometheus,2327,Q192686,Ridley Scott,2051,Q56005
The Martian,2052,Q18547944,Ridley Scott,2051,Q56005
Alien: Blackout,131,Q65229170,Rival Games,130,Q90405658
AI Generated Nude Portraits,71,NA,Robbie Barrat,70,NA
Change Return,2655,NA,Robert Findlay,2654,Q16030835
Invincible,2812,NA,Robert Kirkman,2811,Q311891
Johnny Mnemonic,1110,Q674586,Robert Longo,1108,Q1250139
Alita: Battle Angel,2299,Q810987,Robert Rodriguez,2298,NA
Skinned,534,NA,Robin Wasserman,532,Q2159917
Manhunt,1041,Q853344,Rockstar North,1040,Q94893
Grand Theft Auto V,1459,Q17452,Rockstar North,1040,Q94893
Batman: Arkham Knight,1458,Q15891648,Rocksteady Studios,1457,Q2307159
Spider-Man: Into the Spider-Verse,1970,Q29588607,Rodney Rothman,2197,NA
The Argus Project,3171,NA,Romi Ron Morrison,3163,NA
Futurama,630,Q73622,Ron Hughart,624,Q4502677
Deconstructing Representation,1485,NA,Rosemary Lee,1474,NA
BlinkyTM,2689,Q15088216,Ruairi Robinson,2688,NA
Emotion Hero,1556,NA,Ruben van de Ven,1555,NA
Sustaining Gazes,1557,NA,Ruben van de Ven,1555,NA
Ghost in the Shell,2300,Q22575835,Rupert Sanders,2310,NA
Years and Years,413,Q60776367,Russel T Davies,396,NA
Black Panther (2018 movie),1722,Q23780734,Ryan Coogler,1719,Q7383978
A Date in 2025,2672,NA,Ryan Turner,2671,Q7384602
Machinehood,3119,NA,S.B. Divya,3117,Q99336731
Seed,1024,Q107340428,Said Polat,1023,NA
White Collar Crime Risk Zones,943,NA,Sam Lavigne,941,Q93317679
Little Eyes/Kentukis,1196,Q104412945,Samanta Schweblin,1195,Q7408607
TendAR,514,NA,Samantha Gorman,511,Q108882642
The Under Presents,1147,Q106159719,Samantha Gorman,511,Q108882642
ANONYMOUS: Anonymity scarf,1500,NA,Sanne Weekers,1499,NA
Pontos cegos / Blind spots,1675,NA,Sara Lana,1672,NA
Espécies de espaços II,1674,NA,Sara Lana,1672,NA
STET,2525,Q65016942,Sarah Gailey,2521,Q64748209
House of Earth and Blood,1223,NA,Sarah J Maas,1221,NA
A Song for a New Day,1612,Q95996827,Sarah Pinsker,1609,Q28870552
Cowboy Bebop,144,Q43183511,Satô Ikurô,142,NA
Five Nights at Freddy's,137,Q17618314,Scott Cawthon,136,Q19827680
Reflectacles,574,NA,Scott Urban,572,NA
Molecular Informatics-morphogenic substance via eye tracking,3017,NA,Seiko Mikami,3016,Q29098468
2.0 (2018),2362,Q21095433,Shankar Shanmugam,2359,NA
Best Friend,2344,Q60440861,Shen Yi,2341,NA
Terra Mars,1638,NA,SHI Weili,1637,NA
Cowboy Bebop,144,Q43183511,Shin'ichirô Watanabe,143,NA
Cat or Human,2037,NA,Shinseungback Kimyonghun,2033,NA
Flower,2036,NA,Shinseungback Kimyonghun,2033,NA
Animal Classifier,2035,NA,Shinseungback Kimyonghun,2033,NA
3x3x6,2820,NA,Shu Lea Cheang,2819,Q3482619
(In)Security Camera,2120,NA,Silvia Ruzanka,2117,NA
X Degrees of Separation,2250,NA,Simon Doury,2249,NA
REALFACE Glamoflage,1498,NA,Simone C Niquille,1497,NA
Artificial Remnants 2.0,3182,NA,Sofia Crespo,3180,NA
Geocinema,900,NA,Solveig Suess,899,Q105821263
Security Check,1450,NA,Song Han,1449,NA
Lifeline,1526,Q6545406,Sony Computer Entertainment Japan,230,NA
Surveillance Kanshisha,231,Q7647036,Sony Computer Entertainment Japan,230,NA
Volumetric Data Collector,1050,NA,Sookyun Yang,1048,NA
Drawing Operations,110,NA,Sougwen Chung,109,Q28871477
NA,NA,NA,Sour,354,NA
AI: The Somnium Files,1239,Q55602944,Spike Chunsoft,1235,Q7577190
Final Fantasy VII Remake,1119,Q20155152,Square Enix,1117,Q207784
2001: A Space Odyssey (novel and film),2277,Q103474,Stanley Kubrick,2271,NA
America is Bleeding,2116,NA,STANZA,2115,NA
Syndicate,887,Q2525333,Starbreeze Studios,2746,Q2298950
The Normalizing Machine,193,NA,Stavy Dan,189,NA
Machine Vision,73,NA,Steina Vasulka,72,Q18920314
Dr. Who: Series 7,1007,Q34316,Stephen Moffat,1126,NA
Data-Masks (Series),1568,NA,Sterling Crispin,1567,NA
Technotise: Edit & I,2297,Q225964,Stevan Djordjevic,2292,NA
Minority Report,141,Q244604,Steven Spielberg,99,Q8877
Slaughterbots,860,Q47500700,Stewart Sugg,854,NA
Memories of the Alhambra,1816,Q52145597,Studio Dragon,1810,Q31180504
Rugal,1940,Q79997506,Studio Dragon,1810,Q31180504
The Cat Returns,1162,Q51543,Studio Ghibli,1158,Q182950
Sound and Fury,861,NA,Sturgill Simpson,843,Q16736403
Song of the Machine,67,NA,Superflux,66,NA
The Hunger Games (series),589,Q11885031,Suzanne Collins,588,Q228624
The Test,1717,NA,Sylvain Neuvel,1715,Q28092413
Deep Down Tidal,3205,NA,Tabita Rezaire,3204,Q54947289
Thor: Ragnarok,2356,Q22665878,Taika Waititi,2351,Q2388576
SEER: Simulative Emotional Expression Robot,1626,NA,Takayuki Todo,1625,NA
Technobabylon,980,Q20860351,Technocrat Games,979,NA
Moth & Whisper,2978,NA,Ted Anderson,2976,NA
Exhalation,1001,Q16747517,Ted Chiang,996,Q503095
Asunder,1185,NA,Tega Brain,1182,Q108569384
TendAR,514,NA,Tender Claws,1145,NA
The Under Presents,1147,Q106159719,Tender Claws,1145,NA
Get Even,1859,Q29168557,The Farm 51,2905,Q4051069
Paper,345,NA,The Get Out Clause,342,NA
My Camera Knows Something I Don't,222,NA,the-third-person,221,NA
Grief,423,NA,Thebe Neruda Kgositsile,420,NA
Portrait Machine,3012,NA,Theodore Watson,3011,NA
MEMEMEME#selfie,1666,NA,Thiago Hersan,1664,NA
Infinite Detail: A Novel,655,NA,Tim Maughan,652,NA
"Love, Death & Robots",1124,Q61740435,Tim Miller,1123,Q19561563
Privacy Machine,1053,NA,Timm Burckhardt,1051,NA
"environment built for absence (an unofficial/artificial sequel to J.G. Ballard's ""High Rise"")",902,NA,Tivon Rice,901,NA
Behind our Irises,2238,NA,Tlotlo Tsamaase,2236,Q109768606
DOOR and BOX,2126,NA,Tomás Laurenzo,1569,NA
Memoirs of the Blind,1658,NA,Tomás Laurenzo,1569,NA
Smile,1656,NA,Tomás Laurenzo,1569,NA
Gruppebilde Bergen 2020,3091,NA,Toril Johannessen,3090,Q17097855
Behold these Glorious Times!,1613,NA,Trevor Paglen,32,Q7839361
ImageNet Roulette,1615,NA,Trevor Paglen,32,Q7839361
Sight Machine,1621,NA,Trevor Paglen,32,Q7839361
True Beauty,389,Q4918623,Tyra Banks,387,NA
Assassin's Creed IV: Black Flag,1577,Q6052688,Ubisoft,23,Q188273
Just Dance 2019,45,Q54915210,Ubisoft,23,Q188273
Tom Clancy's Ghost Recon Wildlands,229,Q20155365,Ubisoft,23,Q188273
Tom Clancy's Rainbow Six Siege,1608,Q17183996,Ubisoft,23,Q188273
Watch Dogs: Legion,2198,Q64534648,Ubisoft,23,Q188273
Subnautica,1043,Q21039915,Unknown Worlds Entertainment,1042,Q3022081
Utopian Extraction,2828,NA,unmake lab,2825,NA
Too Much,2449,NA,Usher Raymond IV,2448,NA
Half-Life 2,3112,Q193581,Valve,1032,NA
Portal,1033,Q274897,Valve,1032,NA
Best Friend,2344,Q60440861,Varun Nair,2343,NA
DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits,2032,NA,Vavarella Emilio,214,NA
THE GOOGLE TRILOGY – 3.The Driver and the Cameras,216,NA,Vavarella Emilio,214,NA
Digital skin,2031,NA,Vavarella Emilio,214,NA
Encounters,146,NA,Veronique Ducharme,145,NA
Better off Ted,931,Q832431,Victor Fresco,929,Q7925905
Red Queen,327,NA,Victoria Aveyard,324,Q21066751
The Matrix,1953,Q83495,Wachowski Sisters,1826,NA
Jupiter Ascending,1830,Q12125299,Wachowski Sisters,1826,NA
Narciss,179,NA,Waltz Binaire,177,NA
Beholder,47,Q27773357,Warm Lamp Games,46,NA
Transmetropolitan,254,Q128286,Warren Ellis,264,Q540787
The Ongoing Moment,1668,NA,Weiyi Li,1665,NA
Isle of Dogs,2532,Q28065409,Wes Anderson,2529,Q223687
Rick and Morty,927,Q15659308,Wes Archer,640,Q3120735
Neuromancer,1426,Q662029,William Gibson,1100,Q188987
Pattern Recognition,1101,NA,William Gibson,1100,Q188987
The Peripheral,2803,NA,William Gibson,1100,Q188987
Agency,2798,NA,William Gibson,1100,Q188987
RASA-BOX,1073,NA,Wu Tiancheng,1071,NA
"Goodnight, Melancholy",1438,NA,Yao Wang,1435,NA
VOIGHT-KAMPFF,1064,NA,Yonlay Cabrera,1061,NA
AI Amok,1487,Q65227528,Yû Irie,1486,NA
The Salvage Crew,2975,NA,Yudhanjaya Wijeratne,2974,Q61771325
A Disappeared Movement,3227,NA,Yufeng Deng,3225,NA
The Argus Project,3171,NA,Yvette King,3168,NA
Face Cages,1513,NA,Zach Blas,28,Q28132547
Facial Weaponization Suite,29,NA,Zach Blas,28,Q28132547
Freaks,2714,Q58227961,Zach Lipovsky,2712,Q8063816
I'm on Observation Duty,669,NA,Zaster,668,NA
Gluttonous Snake,1059,NA,Zhengren Chen,1056,NA
Gluttonous Snake,1059,NA,Zhengyang Zhou,1057,NA
Any Vision,233,NA,Zuzana Husárová,232,NA
