WorkTitle,WorkID,Work_WikidataID,Creator,CreatorID,Creator_WikidataID
Postcards from Google Earth,63,NA,Clement Valla,62,NA
Whispers of a Machine,916,Q63315199,Clifftop Games,915,NA
U,206,NA,Coburn Tyler,205,NA
DullDream,1218,NA,Constant Dullaart,1216,Q19665830
Little Brother,173,NA,Cory Doctorow,172,Q110436
Attack Surface,3125,NA,Cory Doctorow,172,Q110436
Shutter (game),2944,NA,Cosmic Logic,2943,NA
ZARI,2684,NA,Courtney Marsh,2683,Q22075552
Sustaining Gazes,1557,NA,Cristina Cochior,1689,NA
The Talos Principle,2835,Q18620506,Croteam,2834,Q2340010
Bill Hader channels Tom Cruise,609,NA,Ctrl Shift Face,569,NA
State of Mind,1035,Q56299003,Daedalic Entertainment,1034,Q1157042
Dissonant Imagery,90,NA,Daito Manabe,87,Q21008480
October Faction,1090,Q86665990,Damian Kindler,1087,Q374850
Brooklyn Nine-Nine: The Fugitive Part 1,1747,Q13417244,Dan Goor,1745,NA
Cam,1085,NA,Daniel Goldhaber,1083,Q102478968
Antibodies,2122,NA,Daniel Iregui,2121,NA
Sight,3264,NA,Daniel Lazo,3261,NA
Daemon,162,NA,Daniel Suarez,161,Q1162833
NA,NA,NA,Dave Eggers,586,NA
eXistenZ,104,Q1050838,David Cronenberg,103,Q55422
Goliath,839,Q25205882,David E. Kelly,838,NA
Best Friend,2344,Q60440861,David Feliu,2345,NA
Deadpool 2,1804,Q25431158,David Leitch,1805,Q5236475
Sorting Daemon,57,NA,David Rokeby,56,Q5239175
Brave New World (2020 TV series),1484,Q65037315,David Wiener,1475,NA
Shapes of Things Before My Eyes,1154,NA,Dejan Marković,905,NA
Arrival,1881,Q20382729,Denis Villeneuve,1879,Q548823
Blade Runner 2049,1904,Q21500755,Denis Villeneuve,1879,Q548823
I'm Just Gettin' Blowed,700,NA,Devin the Dude,695,Q1206920
Glow,1582,NA,Diederik P. Kingma,1580,Q29022624
Night Trap,53,Q1323428,Digital Pictures,52,Q4037348
Yat Madit,2144,NA,Dilman Dila,2239,NA
Ralph Breaks the Internet,10,Q25167044,Disney,9,NA
Incredibles 2,1892,Q24832112,Disney,9,NA
(In)Security Camera,2120,NA,Dmitry Strakovsky,2119,NA
Come Out To LA,745,NA,Don Broco,496,NA
Big Hero 6,1846,Q13091172,Don Hall,1843,Q18921842
Don't Look,2981,Q85631448,Don't Look Team,2986,NA
Squid Game,3220,Q106582931,Dong-hyuk Hwang,3222,NA
Remember Me,619,Q2351397,Dontnod Entertainment,618,NA
Edge of Tomorrow,1850,Q1187607,Doug Liman,1847,Q349339
Self-Contained,995,NA,Doug Rosman,993,NA
